meme_id,Level1,Level2
1,TROLL/ OPPOSE,Intersection
3,TROLL/ OPPOSE,Intersection
4,TROLL/ OPPOSE,Against individual person
5,TROLL/ OPPOSE,Against individual person
6,TROLL/ OPPOSE,Against individual person
7,TROLL/ OPPOSE,Against individual person
8,TROLL/ OPPOSE,Against individual person
9,TROLL/ OPPOSE,Against individual person
10,TROLL/ OPPOSE,Against individual person
11,TROLL/ OPPOSE,Intersection
12,TROLL/ OPPOSE,Against individual person
13,TROLL/ OPPOSE,Against individual person
16,TROLL/ OPPOSE,Against individual person
17,TROLL/ OPPOSE,Against party
18,TROLL/ OPPOSE,Against party
19,TROLL/ OPPOSE,Against individual person
20,TROLL/ OPPOSE,Against individual person
23,TROLL/ OPPOSE,Against individual person
24,TROLL/ OPPOSE,Against individual person
25,TROLL/ OPPOSE,Against individual person
26,TROLL/ OPPOSE,Against individual person
27,TROLL/ OPPOSE,Against party
29,TROLL/ OPPOSE,Against party
30,TROLL/ OPPOSE,Against individual person
31,TROLL/ OPPOSE,Against individual person
32,TROLL/ OPPOSE,Against party
33,TROLL/ OPPOSE,Against individual person
34,TROLL/ OPPOSE,Against individual person
36,SUPPORT,Support for party
37,TROLL/ OPPOSE,Intersection
38,TROLL/ OPPOSE,Against individual person
39,TROLL/ OPPOSE,Against individual person
40,TROLL/ OPPOSE,Against individual person
42,TROLL/ OPPOSE,Against party
43,TROLL/ OPPOSE,Intersection
44,SUPPORT,Support for party
45,TROLL/ OPPOSE,Against party
46,TROLL/ OPPOSE,Against individual person
47,SUPPORT,Support for individual person
48,TROLL/ OPPOSE,Against party
49,TROLL/ OPPOSE,Against individual person
50,TROLL/ OPPOSE,Against individual person
51,TROLL/ OPPOSE,Against individual person
52,TROLL/ OPPOSE,Against individual person
54,TROLL/ OPPOSE,Against individual person
55,TROLL/ OPPOSE,Against individual person
56,TROLL/ OPPOSE,Against individual person
57,TROLL/ OPPOSE,Against individual person
58,TROLL/ OPPOSE,Against individual person
60,TROLL/ OPPOSE,Against individual person
61,TROLL/ OPPOSE,Against party
62,TROLL/ OPPOSE,Against party
64,TROLL/ OPPOSE,Against individual person
66,TROLL/ OPPOSE,Against party
67,TROLL/ OPPOSE,Against party
68,TROLL/ OPPOSE,Against party
69,TROLL/ OPPOSE,Against individual person
70,TROLL/ OPPOSE,Against individual person
71,TROLL/ OPPOSE,Against individual person
73,TROLL/ OPPOSE,Against individual person
74,TROLL/ OPPOSE,Against party
75,TROLL/ OPPOSE,Intersection
76,TROLL/ OPPOSE,Intersection
77,TROLL/ OPPOSE,Against individual person
78,TROLL/ OPPOSE,Against individual person
79,TROLL/ OPPOSE,Against individual person
80,TROLL/ OPPOSE,Against party
82,TROLL/ OPPOSE,Against individual person
83,TROLL/ OPPOSE,Intersection
84,TROLL/ OPPOSE,Against individual person
85,TROLL/ OPPOSE,Against individual person
86,SUPPORT,Support for individual person
87,TROLL/ OPPOSE,Against individual person
89,SUPPORT,Support for individual person
90,TROLL/ OPPOSE,Against individual person
91,TROLL/ OPPOSE,Against individual person
93,SUPPORT,Support for individual person
94,TROLL/ OPPOSE,Against individual person
95,SUPPORT,Support for individual person
96,SUPPORT,Support for individual person
97,SUPPORT,Intersection
98,TROLL/ OPPOSE,Intersection
99,TROLL/ OPPOSE,Against individual person
101,TROLL/ OPPOSE,Against party
102,TROLL/ OPPOSE,Against individual person
104,TROLL/ OPPOSE,Against individual person
105,TROLL/ OPPOSE,Against party
108,SUPPORT,Support for individual person
109,TROLL/ OPPOSE,Intersection
110,SUPPORT,Support for party
111,SUPPORT,Support for party
112,SUPPORT,Support for party
113,TROLL/ OPPOSE,Against individual person
114,TROLL/ OPPOSE,Against individual person
115,TROLL/ OPPOSE,Against individual person
116,TROLL/ OPPOSE,Against party
117,TROLL/ OPPOSE,Against individual person
118,TROLL/ OPPOSE,Against individual person
119,TROLL/ OPPOSE,Against party
120,TROLL/ OPPOSE,Against individual person
121,TROLL/ OPPOSE,Against party
123,TROLL/ OPPOSE,Against individual person
124,TROLL/ OPPOSE,Intersection
125,TROLL/ OPPOSE,Against individual person
126,TROLL/ OPPOSE,Against party
127,TROLL/ OPPOSE,Against individual person
128,TROLL/ OPPOSE,Against individual person
130,TROLL/ OPPOSE,Against individual person
132,TROLL/ OPPOSE,Against party
133,TROLL/ OPPOSE,Against individual person
134,TROLL/ OPPOSE,Against individual person
136,TROLL/ OPPOSE,Against individual person
137,TROLL/ OPPOSE,Intersection
138,TROLL/ OPPOSE,Against individual person
140,TROLL/ OPPOSE,Against individual person
141,TROLL/ OPPOSE,Against individual person
142,TROLL/ OPPOSE,Against individual person
143,TROLL/ OPPOSE,Intersection
144,TROLL/ OPPOSE,Against party
145,TROLL/ OPPOSE,Against individual person
146,TROLL/ OPPOSE,Against individual person
147,TROLL/ OPPOSE,Against individual person
148,TROLL/ OPPOSE,Against party
149,TROLL/ OPPOSE,Against individual person
150,TROLL/ OPPOSE,Against party
151,TROLL/ OPPOSE,Against party
152,TROLL/ OPPOSE,Against individual person
153,TROLL/ OPPOSE,Against party
154,TROLL/ OPPOSE,Against party
155,TROLL/ OPPOSE,Against party
156,TROLL/ OPPOSE,Against party
158,TROLL/ OPPOSE,Against party
159,TROLL/ OPPOSE,Against individual person
160,TROLL/ OPPOSE,Against individual person
163,TROLL/ OPPOSE,Against individual person
164,TROLL/ OPPOSE,Against individual person
165,TROLL/ OPPOSE,Against individual person
166,TROLL/ OPPOSE,Against party
168,TROLL/ OPPOSE,Against individual person
169,TROLL/ OPPOSE,Against individual person
170,TROLL/ OPPOSE,Against individual person
171,TROLL/ OPPOSE,Against party
172,TROLL/ OPPOSE,Against party
173,TROLL/ OPPOSE,Against party
174,TROLL/ OPPOSE,Against party
175,TROLL/ OPPOSE,Against party
176,TROLL/ OPPOSE,Against individual person
177,TROLL/ OPPOSE,Against individual person
178,TROLL/ OPPOSE,Against individual person
179,TROLL/ OPPOSE,Against individual person
180,TROLL/ OPPOSE,Against party
181,TROLL/ OPPOSE,Against party
182,TROLL/ OPPOSE,Against party
183,TROLL/ OPPOSE,Against party
184,TROLL/ OPPOSE,Against party
185,TROLL/ OPPOSE,Against party
186,TROLL/ OPPOSE,Against party
187,TROLL/ OPPOSE,Against party
189,TROLL/ OPPOSE,Against party
191,TROLL/ OPPOSE,Against party
193,TROLL/ OPPOSE,Against individual person
194,TROLL/ OPPOSE,Against individual person
195,TROLL/ OPPOSE,Against individual person
196,TROLL/ OPPOSE,Against individual person
197,TROLL/ OPPOSE,Against party
198,TROLL/ OPPOSE,Against individual person
199,TROLL/ OPPOSE,Intersection
200,TROLL/ OPPOSE,Against party
203,TROLL/ OPPOSE,Against party
204,TROLL/ OPPOSE,Against individual person
205,TROLL/ OPPOSE,Against party
207,TROLL/ OPPOSE,Against individual person
208,TROLL/ OPPOSE,Against party
